params_index, n_variables, n_total_environments, sparsity, intervention_targets, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, True orientation rate, False orientation rate, Precision, Recall, Average precision
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 1, 0, 3, 3, 2, 2, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 0, 3, 3, 2, 2, 0.0, 0.0, 1, 0.0, 0.0
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 2, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 3, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 3, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 4, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 4, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 5, 0, 2, 3, 2, 2, 0.5, 0.0, 1.0, 0.5, 0.5
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 5, 0, 1, 3, 2, 2, 1.0, 0.0, 1.0, 1.0, 1.0
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 1, 1, 4, 4, 5, 3, 0.4, 0.0, 1.0, 0.4, 0.4
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 1, 1, 4, 4, 5, 3, 0.4, 0.0, 1.0, 0.4, 0.4
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 2, 1, 2, 4, 5, 3, 0.8, 0.0, 1.0, 0.8, 0.8
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 2, 1, 2, 4, 5, 3, 0.8, 0.0, 1.0, 0.8, 0.8
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Full PC (oracle), False, 3, 1, 2, 4, 5, 3, 0.8, 0.0, 1.0, 0.8, 0.8
0, 6, 5, 0.5, None, None, 0.3, 20, None, er, Min changes (oracle), False, 3, 1, 1, 4, 5, 3, 1.0, 0.0, 1.0, 1.0, 1.0
